latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,city
53.1704,-116.0914,321.9,2.5,1.5,2009-12-17,1948,Terra,MODIS,81,6.03,270.3,96.5,D,0,Edson
53.1612,-116.0568,306.8,2.6,1.5,2009-12-17,1948,Terra,MODIS,64,6.03,270.7,48.2,D,0,Edson
53.1689,-116.0581,306.4,2.6,1.5,2009-12-17,1948,Terra,MODIS,63,6.03,270.7,47.2,D,0,Edson
53.1655,-116.1027,307.9,2.5,1.5,2009-12-17,1948,Terra,MODIS,66,6.03,269.2,51.8,D,0,Edson
53.1681,-116.0715,317.7,1.9,1.3,2009-12-17,1959,Aqua,MODIS,78,6.03,270.3,55.1,D,0,Edson
53.3876,-116.1082,337.8,1.6,1.3,2010-01-09,2005,Aqua,MODIS,86,6.03,273.4,91.9,D,0,Edson
53.3872,-116.0505,326.2,1.1,1.0,2010-01-12,1846,Terra,MODIS,80,6.03,271.6,33.7,D,0,Edson
53.1513,-116.3823,315.0,1.1,1.0,2010-01-12,1846,Terra,MODIS,75,6.03,274.8,20.9,D,0,Edson
53.1335,-116.3043,302.0,1.0,1.0,2010-01-12,2036,Aqua,MODIS,50,6.03,273.5,9.2,D,0,Edson
53.1313,-116.3189,347.4,1.0,1.0,2010-01-12,2036,Aqua,MODIS,95,6.03,275.1,62.2,D,0,Edson
53.14,-116.3849,310.6,1.0,1.0,2010-01-12,2036,Aqua,MODIS,70,6.03,274.4,14.6,D,0,Edson
53.3862,-116.0488,303.8,1.0,1.0,2010-01-12,2036,Aqua,MODIS,54,6.03,273.7,10.4,D,0,Edson
53.384,-116.0635,341.7,1.0,1.0,2010-01-12,2036,Aqua,MODIS,80,6.03,275.7,51.5,D,0,Edson
53.4301,-116.5648,313.5,1.0,1.0,2010-01-12,2036,Aqua,MODIS,70,6.03,272.5,17.4,D,0,Edson
53.1619,-116.0827,329.9,1.6,1.2,2010-01-13,1929,Terra,MODIS,87,6.03,273.6,66.3,D,0,Edson
53.1514,-116.0892,307.5,1.6,1.2,2010-01-13,1929,Terra,MODIS,65,6.03,272.0,25.4,D,0,Edson
53.1459,-116.0929,312.6,3.0,1.7,2010-01-13,1941,Aqua,MODIS,55,6.03,269.0,78.4,D,0,Edson
